ပရိုတွန်	protons	ions	electrons	atoms	molecules	electron	molecule	deuterium	neutrons	orbitals
ပရိုလက်တင်	additionally	uses	latin	addition	components	component	translational	instance	example	demonstrated
ပရက်စလေ	valentine	spencer	august	remembered	coincidentally	eric	september	july	david	henry
ပရိက္ခရာ	devanagari	alphabet	dwelt	glyph	devas	alphabets	merciful	vulgate	gaulish	psalm
ပရောက်ဆီ	applications	accessibility	simulations	accesses	generates	prototyping	optimized	technologies	integrates	accessible
ပရက်စ်	home	only	referenced	incidentally	may	known	predated	reference	seen	after
ပရင်ကယ်လ်	kelly	mates	sued	only	combo	mate	condo	liver	burger	will
ပရိုင်း	gamers	pack	interactive	stacking	developers	sliders	usable	developer	adventure	network
ပရစ်	won	competed	finished	team	winning	finishing	raced	final	competition	only
ပရိတ်ကြီး	disciples	meditations	disciple	meditation	spiritual	repentance	sermon	headmaster	preacher	vows
ပရိတ်သတ်	fans	delight	cheer	performer	guests	impress	goers	audience	inspires	watching
ပရိတ်သတ်များ	musicians	performers	personalities	favorites	entertainers	performances	guests	fans	celebrities	inspirations
ပရမ်းပတာ	frustrated	treacherous	reminded	humiliating	abandoning	confronting	captors	witnessing	accustomed	undermined
ပလာ	kinetic	invented	uses	lighter	vibrating	grating	projectors	trademarked	magnets	portable
ပလာဇာ	april	july	march	december	june	february	august	october	september	november
ပလူတိုနီယမ်	hydrogen	chemically	deuterium	chlorine	magnesium	phosphorus	compounds	chemicals	fluorine	halogen
ပလေယာ	computers	airplanes	phones	airline	airliners	specifications	coded	variants	operator	computer
ပလေးစတေရှင်	televisions	tvs	directv	ebay	webcast	iphone	hdtv	commercials	smartphones	ipod
ပလက်ဖောင်း	platforms	configuration	configurations	gauges	functionality	connectors	accesses	bidirectional	components	interface
ပလောင်	kachin	ethnic	fulani	peoples	kurdistan	malay	southerners	ethnologue	ethnicities	rakhine
ပလတ်စတစ်	plastic	powdered	coating	polyurethane	products	coatings	casing	recycled	insulating	heating
ပလိန်း	met	contacted	father	married	porter	sally	mack	biography	originally	wife
ပလပ်	devices	coatings	detectors	electrically	device	coating	detector	plastic	portable	using
ပလပ်စတစ်	chemically	coating	heating	insulating	appliances	casing	coatings	halogen	chemicals	plastic
ပလိပ်	campus	apron	college	laundry	jacket	parking	dormitory	campuses	bag	jelly
ပအိုဝ်း	kachin	ethnologue	rakhine	dravidian	ethnic	ethnicities	arakan	ethno	rohingya	chiefdom
ပအိုဝ်းတိုင်းရင်းသား	ethnic	kachin	ethnicities	ethnologue	rakhine	ethnicity	malays	peoples	ethno	austronesian
ပါ	one	only	just	so	come	give	followed	hold	both	go
ပါက	mucosa	bruising	antibiotics	minimise	bathroom	vaginal	vomiting	toilet	necessitating	glucose
ပါကာ	cafeteria	unharmed	gym	rubble	sturdy	lindsey	ellie	floor	makeshift	quetta
ပါကင်	parking	parked	stairwell	basement	entrances	garages	garage	pavement	pedestrian	lights
ပါကစ်စတန်	pakistani	pakistan	pakistanis	afghanistan	quetta	karachi	afghan	peshawar	swat	islamabad
ပါကစ္စတန်၊	pakistan	pakistani	bangladesh	balochistan	islamabad	afghanistan	pakistanis	afghan	bangladeshi	pakhtunkhwa
ပါကစ္စတန်	pakistan	pakistani	pakistanis	afghanistan	afghan	balochistan	islamabad	bangladesh	taliban	bangladeshi
ပါကစ္စတန်နိုင်ငံ၊	pakistan	bangladesh	islamabad	saudi	karachi	arabia	afghanistan	balochistan	pakistani	tajikistan
ပါကစ္စတန်နိုင်ငံ	pakistan	bangladesh	pakistanis	pakistani	afghanistan	nepal	arabia	islamabad	tajikistan	karachi
ပါကစ္စတန်နိုင်ငံတွင်	pakistan	bangladesh	islamabad	pakistanis	pakistani	balochistan	afghanistan	tajikistan	nepal	bangladeshi
ပါကစ္စတန်နိုင်ငံ၏	pakistan	islamabad	bangladesh	pakistani	balochistan	afghanistan	karachi	djibouti	pakistanis	saudi
ပါဏဗေဒ	systematics	biology	arboreal	ecology	neotropical	biogeography	ornithology	tropics	zoology	insectivorous
ပါဏဗေဒအရ	colouration	arboreal	leathery	flightless	neotropical	coloration	plumage	insectivorous	labellum	beak
ပါဏဗေဒအလိုအရ	leathery	arboreal	colouration	tropics	rainforests	insectivorous	neotropical	fleshy	subtropical	temperate
ပါတနာ	party	disclosed	founders	company	touted	interested	materialized	official	intention	contemplated
ပါတီ၊	party	socialist	socialists	centrist	leninist	socialism	democrats	democratic	populist	communist
ပါတီ	party	socialist	socialists	parties	communist	centrist	coalition	democratic	liberal	democrats
ပါတီက	party	socialists	socialist	democrats	centrist	leninist	liberals	socialism	populist	elections
ပါတီခေါင်းဆောင်	leader	party	captain	coalition	socialist	socialists	faction	democratically	leadership	opposition
ပါတီစုံ	party	elections	socialist	democrats	election	socialists	democratic	centrist	liberals	democratically
ပါတီစုံဒီမိုကရေစီ	democratic	democracy	democrats	democratization	party	democratically	elections	socialist	populism	liberalism
ပါတီညီလာခံ	party	elections	candidate	election	delegate	parliamentary	delegates	candidature	democratically	socialist
ပါတီတို့	party	socialists	socialist	democrats	centrist	liberals	coalition	progressives	nationalists	nacionalista
ပါတီနိုလိုက်	party	parties	opposed	cause	detrimental	particular	moderates	radicals	moderate	instance
ပါတီများ	parties	party	politicians	socialists	elections	candidates	coalitions	leftists	liberals	democrats
ပါတီရဲ့	party	socialist	socialism	socialists	populist	centrist	leninist	marxist	faction	ideology
ပါတီဝင်	party	candidate	democrats	democratic	socialist	election	populist	elections	candidacy	incumbent
ပါတီဝင်များ	politicians	parties	party	candidates	sympathizers	leftists	progressives	legislators	delegates	appointees
ပါတီသည်	party	socialist	socialists	centrist	leninist	liberals	nacionalista	democrats	sdp	socialism
ပါတီ၏	party	socialist	centrist	socialists	leninist	democratic	marxist	socialism	democrats	trotskyist
ပါတီဥက္ကဋ္ဌ	party	faction	politburo	chairperson	democrats	democratic	chairmanship	democratically	chairmen	parliamentary
ပါတဲ့	generation	party	fusing	labelled	hint	lite	pds	mixture	compromising	internally
ပါတယ်	getting	that	responding	filled	filling	complaining	delighted	tweeted	delivering	reported
ပါပူယာ	singapore	participating	the	competition	part	emirates	spain	competitions	competing	netherlands
ပါပူဝါ	the	coast	mainland	singapore	south	west	east	country	area	part
ပါပူအာ	singapore	brunei	indonesia	bahrain	malaysia	pakistanis	arab	malaysian	countries	emirates
ပါဗလို	ever	loved	first	likes	won	coincidentally	beating	telling	ironically	only
ပါဘူး	really	bothered	going	while	doing	getting	worried	seeing	knowing	saying
ပါမောက္ခ	professor	emeritus	professorship	professorships	lecturer	faculty	professorial	rector	professors	prof
ပါမောက္ခချုပ်	professor	emeritus	faculty	rector	lecturer	professorship	professorships	professorial	university	lectureship
ပါမောက္ခချုပ်အဖြစ်	emeritus	faculty	professorship	lecturer	professorial	rector	professor	professorships	universität	lectureship
ပါမောက္ခအဖြစ်	professorship	professor	emeritus	lecturer	professorships	lectureship	professorial	faculty	doctorate	phd
ပါရဂူ	lecturer	faculty	doctorate	doctorates	graduate	lectureship	professor	phd	undergraduate	university
ပါရဂူဘွဲ့	doctorate	doctorates	university	phd	graduate	undergraduate	faculty	professorship	graduating	honoris
ပါရဂူဘွဲ့ကို	doctorate	doctorates	laude	phd	graduating	graduate	university	honoris	professorship	graduated
ပါရမီ	aphorisms	truths	immortality	contemplation	philosophy	melancholy	meditations	eloquence	metaphysics	oration
ပါရမီရှင်	genius	mentors	lectures	philosopher	passionate	philosophy	lecture	professors	admirers	luminaries
ပါရာဂွေး	argentina	spain	beating	clinching	competing	losing	with	equalling	finishing	competition
ပါရာဆီရစ်	only	claiming	denied	not	that	could	claimed	supposed	failing	had
ပါရာလမ်ပစ်	venues	summer	competitions	archery	indoor	participating	olympic	aquatics	velodrome	cycling
ပါရီ	lecture	lectured	university	lecturing	lecturer	laureate	lectures	academic	doctorate	scholar
ပါရီတွင်	franz	innsbruck	hofmann	cuernavaca	juárez	graz	fischer	salzburg	malmö	orozco
ပါရီမြို့	budapest	rome	munich	vienna	padua	algiers	besançon	naples	stuttgart	athens
ပါရီမြို့တွင်	besançon	stuttgart	plovdiv	yerevan	tbilisi	thessaloniki	yokohama	düsseldorf	tokyo	pécs
ပါရီမြို့၌	vienna	budapest	munich	padua	strasbourg	rome	bologna	stuttgart	besançon	nuremberg
ပါရီမြို့သို့	livorno	trieste	marseille	montevideo	bilbao	emigrate	brindisi	besançon	freiburg	ajaccio
ပါရီသို့	matías	sofía	emigrate	gastón	adrián	confides	federico	fiancée	sandro	verónica
ပါရှား	morocco	russia	moroccan	algeria	albania	russian	montenegro	algerian	drawing	omani
ပါရှိ	contained	contains	containing	contain	circulate	inset	originate	includes	consist	cover
ပါရှိတဲ့	contained	containing	circulating	contains	contain	circulate	inside	circulated	externally	leaking
ပါရှိပြီး	millimetres	fraction	ovoid	pouches	centimetres	oblong	millimeters	elongate	elongated	smaller
ပါရှိသဖြင့်	sanguozhi	conspicuously	tubular	flush	schiffermüller	ovoid	inconspicuous	bulb	bulbous	copious
ပါရှိသော	absent	contained	containing	contains	bulbous	lacking	contain	devoid	inclusions	distinctive
ပါရှိသည်	contained	contains	containing	illustrating	page	substantiated	concerning	circulating	includes	presenting
ပါရှိသည်ကို	appendages	handwritten	shapes	lowercase	envelopes	tubular	feedback	cloak	tactile	laminar
ပါရှန်	origin	arabian	persian	greek	mostly	originate	principally	iberian	albania	persia
ပါရှန်း	origin	albania	empires	arabian	persian	iberian	omani	origins	greeks	navies
ပါရှန်းပင်လယ်ကွေ့	coastline	gulf	coastal	coastlines	coasts	mediterranean	offshore	adriatic	coast	ocean
ပါလာ	taunts	dressed	clothes	blindfolded	shouts	downstairs	taunting	terrified	dressing	shouting
ပါလာသော	thick	sturdy	hid	suspicious	cramped	mistook	treacherous	frail	unidentified	deserters
ပါလာသည့်	yolk	kgb	schläfli	snoop	isomorphic	rza	cdk	epithelial	improvise	polytope
ပါလီမန်	parliament	parliamentary	parliaments	parliamentarian	elections	election	unicameral	candidature	constituencies	mps
ပါလီမန်က	parliament	parliamentary	parliaments	parliamentarian	referendum	elections	unicameral	sejm	constitutional	election
ပါလီမန်ဒီမိုကရေစီ	democracy	democratic	democrats	parliamentary	democratically	elections	liberalism	democratization	election	constitutional
ပါလီမန်၌	parliament	parliamentary	parliaments	parliamentarian	elections	unicameral	election	referendum	mps	constitutional
ပါလီမန်မှ	parliamentary	parliament	parliaments	elections	parliamentarian	referendum	mps	election	constitutional	unicameral
ပါလီမန်ရွေးကောက်ပွဲတွင်	elections	election	parliamentary	vote	electoral	votes	candidate	candidature	parliament	candidacy
ပါလီမန်အမတ်	parliament	parliamentary	parliaments	parliamentarian	election	elections	mps	opposition	liberals	constitutional
ပါလီမန်အမတ်အဖြစ်	parliament	parliamentary	parliaments	parliamentarian	elections	election	mps	unopposed	reelection	electorate
ပါလီမန်၏	parliament	parliamentary	parliaments	parliamentarian	unicameral	sejm	elections	referendum	constitutional	bicameral
ပါလိုမာ	only	before	without	the	where	days	north	once	twice	after
ပါလက်စတိုင်း	extremists	arabia	palestine	arab	invades	refugees	retaliate	displaced	hostages	retaliation
ပါလက်စ္စတိုင်း	conflict	extremists	severing	dismantle	humanitarian	severed	retaliate	hostage	retaliation	terror
ပါလင်း	only	light	coming	however	the	to	one	denied	that	though
ပါလျှင်	stimuli	secretions	smooth	hyphae	pores	mandibles	lesion	therefore	mucosa	epidermis
ပါဝါ	uses	components	electrostatic	plasma	rechargeable	electric	contributes	component	superconducting	generates
ပါဝါညွှန်းကိန်း	quantification	optimization	parameter	measurement	parameters	indices	predictive	utilization	optimized	weighting
ပါဝင်	participated	include	participation	included	involved	participates	participant	includes	participating	participate
ပါဝင်ကာ	includes	include	participates	comprises	bukit	consists	comprising	participation	comprised	activities
ပါဝင်ကြပြီး	diverse	manta	macaque	predominantly	predominant	include	ethnicities	canarian	diversity	predominate
ပါဝင်ကြောင်း	conclusive	pathway	involving	includes	unrelated	involvement	involved	involve	cytochrome	pathways
ပါဝင်ခဲ့	involvement	involved	participation	participated	participating	participate	participates	activities	participations	participant
ပါဝင်ခဲ့ကြသည်	participating	participation	involvement	participated	activities	participates	participate	organised	involved	comprised
ပါဝင်ခဲ့ပြီး	involvement	participation	participated	participating	participates	involved	participations	spearheaded	activities	participate
ပါဝင်ခဲ့သူ	involvement	participated	involved	participation	participant	participating	participates	supporter	participations	revolutionary
ပါဝင်ခဲ့သော	participated	involved	involvement	participating	participation	participates	participations	notable	including	revolutionary
ပါဝင်ခဲ့သော်လည်း	involvement	união	participated	participation	overshadowed	inconclusive	leonel	germán	araújo	involved
ပါဝင်ခဲ့သည်	participating	involved	participated	involvement	participation	including	included	activities	participates	includes
ပါဝင်ခြင်း	involvement	participation	initiation	activities	complication	initiating	rejection	complicating	consequent	facilitation
ပါဝင်ခွင့်	participation	eligibility	eligible	participate	participating	privileges	exempted	exemption	citizenship	participations
ပါဝင်ဆောင်ရွက်	participation	participating	participatory	participates	participate	participant	participated	organizing	organizes	involved
ပါဝင်တဲ့	involved	involvement	participation	other	involving	contained	participates	contains	participating	including
ပါဝင်နေသော	involved	involve	involving	activities	excludes	involves	diverse	participation	excluded	dissimilar
ပါဝင်ပါသည်	includes	contains	excludes	contained	comprises	consists	included	including	include	containing
ပါဝင်ပတ်သက်မှု	involvement	involved	participation	implications	regarding	involving	activities	controversies	relevance	concerns
ပါဝင်ပြီး	includes	comprises	include	cyp	jharkhand	contains	constitutes	encompasses	encompass	alam
ပါဝင်မည်	participation	participating	participates	participant	participate	involve	participatory	includes	participations	participants
ပါဝင်မှု	participation	utilization	effectiveness	involving	responsiveness	reactivity	involvement	activation	enhances	reactions
ပါဝင်ရန်	participation	involvement	participating	participates	participate	involve	involving	participated	jagdish	željko
ပါဝင်၍	participates	includes	include	comprises	accipiter	comprising	contains	soluble	comprised	comprise
ပါဝင်သရုပ်ဆောင်	starring	starred	actor	actress	movie	filmography	screenwriter	movies	film	films
ပါဝင်သူ	participant	participation	participating	participated	participates	involved	involvement	participants	participations	included
ပါဝင်သော	comprises	includes	contains	comprising	comprise	valid	constitute	contain	ubiquitous	consist
ပါဝင်သော်လည်း	maja	cyp	fuj	gbr	mnz	srb	unrelated	pinheiro	sbo	accipiter
ပါဝင်သည်	includes	comprises	participates	involved	participating	participation	contains	comprise	comprised	participant
ပါဝင်သည့်	comprises	consists	includes	contains	serine	superfamily	comprise	threonine	participates	isomers
ပါသော	yellow	swollen	sturdy	purple	thin	sketches	laced	thick	small	consisting
ပါသည်	contained	includes	contains	included	consisted	boasting	besides	comprised	including	boasted
ပါသည်ဟု	hoax	absurd	absurdity	majumdar	contradicted	criticising	skeptic	misinterpreted	contradicts	untrue
ပါသည့်	tyrosine	nadph	yolk	cofactor	amino	hemoglobin	metabolized	glucose	oxygen	pyruvate
ပါသွား	remembers	boarded	leave	slept	startled	waited	doorstep	amused	terrified	hurried
ပါသွားသော	swollen	inconspicuous	unusual	uneventful	stiff	tiny	awkward	infrequent	disembarked	unpleasant
ပါဠိ	sanskrit	linguistics	pali	philosophy	devanagari	mahayana	tantra	buddhism	philology	theravada
ပါဠိစကား	word	words	utterance	sanskrit	phrases	meanings	vocabulary	grammatical	phrase	etymological
ပါဠိတော်	sanskrit	sanctorum	scriptures	sutras	sutta	sutra	tantra	abbot	recitation	granth
ပါဠိဘာသာ	sanskrit	buddhism	scripture	scriptures	texts	sutras	phonetics	exegesis	devanagari	translating
ပါဠိလို	sanskrit	tantra	tantric	mantra	word	pali	proverb	mahayana	words	proverbs
ပါ့	pressed	hang	ang	before	sit	rang	bed	sing	shed	stall
ပါ့ခ်	booked	also	performing	visiting	invited	following	outside	campus	at	singapore
ပါ့သ်	united	of	respectively	april	march	february	june	december	at	january
၅ပါး	cursed	immortal	sorrow	heartless	curses	righteousness	curse	agony	devoured	craving
ပါး	nearly	almost	kali	racked	hands	fist	half	spoon	thrashing	touching
၄ပါး၊	udon	ghee	prawn	phra	amphoe	gyi	khao	goodness	delicacy	dumplings
ပါးကို	heals	demon	vows	thirst	righteousness	cloak	devotee	asura	lucifer	ascetic
ပါးစပ်	coughing	skin	stomach	swallowing	nervous	bruising	bruises	swelling	genitals	sucking
ပါးစပ်၊	mucous	digestive	skin	swallowing	stomach	muscles	intestine	abdominal	rectum	abdomen
ပါးစပ်က	coughing	stomach	screams	throat	swallowing	rectum	bruises	sucking	laughing	sweating
ပါးစပ်ကို	muscles	stomach	coughing	nostrils	abdomen	epidermis	throat	mucosa	fingers	rectum
ပါးစပ်ဖြင့်	genitals	psychotic	genitalia	muscles	abdomen	rectum	abdominal	diagnosis	urinary	anus
ပါးစပ်မှ	coughing	stomach	skin	psychotic	anorexia	throat	anus	sucking	screams	abdominal
ပါးပါး	cooked	roasted	boiled	meal	appetite	craving	thirst	flesh	eats	eaten
ပါးမှာ	carapace	dostoevsky	tongue	taluk	anteriorly	obliquely	discworld	undivided	whorl	parishad
ပါးလွှာ	thinner	thicker	coloration	pigmentation	moisture	thickness	thickening	thick	cavity	colouration
ပါးလွှာသော	thick	translucent	thicker	cylindrical	thinner	granular	textured	smooth	thickness	bulbous
ပါးသော	slender	swollen	thin	leathery	inconspicuous	exceedingly	fleshy	abundant	devoid	harmless
ပါးသည်	whorl	passenger	glabrous	whorls	schwarzburg	cunard	archduchess	passengers	peduncle	swollen
ပိ	blowing	dung	cages	tho	kal	blasting	burning	boil	koon	boon
ပိဋက	scriptures	sanskrit	rinpoche	buddhism	sutras	buddha	tantra	dharma	precepts	mahayana
ပိဋကတ်	scriptures	exegesis	wisdom	rinpoche	teachings	discourses	precepts	philosophy	sanskrit	buddhism
ပိဋကတ်တော်ကို	abbeys	sepulchre	abbot	exegesis	psalms	prebendary	hluttaw	abbey	nunnery	vaishnava
ပိတောက်	lanterns	brightly	lamp	incandescent	lit	lantern	stove	curtains	brush	candle
ပိရမစ်	stonework	proportions	ornamentation	palaces	sundial	artefacts	minarets	walls	pillars	reconstructions
ပီကာဆို	career	famous	beginning	first	began	professionally	remembered	appeared	ended	winning
ပီကေကေ	since	forces	military	both	only	prior	during	operations	occurred	arming
ပီကင်း	emigrated	immigrated	spain	china	cadiz	emigrating	rawson	uruguay	manchuria	italy
ပီဂျီ	application	charge	for	charging	charged	initially	grounding	provided	equipment	content
ပီစီ	costing	section	opening	contained	program	extension	utilising	inserted	sections	licensing
ပီစီအက်	police	uniformed	additionally	presently	was	of	and	for	development	companies
ပီဆို	amounting	estimated	million	sell	totaling	totalling	costing	amounted	rental	selling
ပီတာ	director	chairman	interviewed	vice	directorship	chaired	chairmanship	stepped	chairperson	appointed
ပီတာစဘက်	at	around	near	opened	the	was	outside	located	time	inside
ပီတာစဘတ်	at	coincidentally	interviewed	august	april	february	time	september	shortly	july
ပီတာစန်	coincidentally	time	at	was	ten	came	month	ever	initially	day
ပီတာဆန်	controversially	officiating	ended	disallowed	police	after	had	charge	time	came
ပီတိ	delusion	arrogance	wisdom	ignorance	disbelief	insanity	evil	jealousy	righteousness	intellect
ပီတီ	at	the	visiting	ended	and	in	history	brought	of	came
ပီထရာအက်	briefed	reiterated	the	prior	briefing	controversially	announcement	september	questioned	appointment
ပီဒရို	initially	was	officially	as	financed	spain	nominally	acted	starting	italy
ပီပါ	actual	actuality	actually	incentive	specifically	limitations	additionally	introduced	misleading	solely
ပီပီ	arrogance	detractors	truth	tyranny	ashamed	pretender	honesty	persuasion	blatant	contradiction
ပီပီပြင်ပြင်	rationalism	nationalism	perspective	nationalistic	imperialism	patriarchy	oratory	reform	rationalist	realism
ပီပြင်စွာ	skilful	fête	meticulous	lumière	mère	etude	curiosity	rémi	traité	populaire
ပီဘီအက်စ်	medical	marketing	responders	hospitalization	for	produced	firsts	care	equipment	technician
ပီရူး	peru	chile	peruvian	bolivia	argentina	paraguay	colombia	spain	chilean	brazil
ပီရူးနိုင်ငံ	greece	guatemala	honduras	ethiopia	ecuador	colombia	bolivia	kenya	algeria	nicaragua
ပီသစွာ	skilful	faithful	kindness	affectionate	cheerful	skillful	knows	devout	asleep	misfortune
ပီအေ	opposed	advocated	instituting	suppression	suppressing	initiated	countering	resisted	suppress	resisting
ပီအက်စ်ပီ	compatible	mobile	phones	computers	smartphones	scanner	commercialized	powering	device	devices
ပီအိုင်အမ်အေ	regarding	general	cooperating	licensing	relation	authorization	discussed	regard	concerning	agencies
ပီအန်ဂျီ	internationally	japan	countries	for	china	well	also	additionally	international	play
ပီအမ်	hour	paused	hours	minutes	monday	afternoon	bus	stations	april	planned
ပီး	coincidentally	couple	ten	holed	respectively	eight	shilling	five	ended	year
ပီးလ်	coincidentally	starting	initially	first	only	lottery	was	started	also	owner
ပု	conch	bead	beads	rooster	earrings	gilded	brooch	ornament	relic	bangles
ပုဂံ	pagoda	stupa	toungoo	shrine	keng	artefacts	mandalay	relics	shwe	kiln
ပုဂံ၊	stupa	pagoda	vihara	toungoo	luang	carvings	kachin	khao	phra	khlong
ပုဂံခေတ်	stupa	antiquity	ancient	dynasties	dynasty	heian	pagoda	inscriptions	artefacts	medieval
ပုဂံပြည်၌	goguryeo	stupa	toungoo	ruler	bodhisattva	chalukya	dynasty	chandragupta	xiongnu	sassanid
ပုဂံမြို့	town	ruins	vihara	nunnery	stupa	stonework	apse	frescoes	temples	relics
ပုဆိုး	fashioned	charms	bridegroom	slippers	earrings	curses	fool	cursed	necklace	handkerchief
ပုဆိုးကို	heartbroken	pretending	kisses	slaps	pretends	fool	bitch	begs	forgives	drunk
ပုဆိန်	sticks	whipped	knives	slippers	throwing	dressed	wielding	spoons	stick	platter
ပုဇွန်	cobbler	bakery	pickle	flour	cakes	butchers	confectionery	candies	oyster	bakers
ပုဇွန်တောင်	headmaster	meadow	schoolmaster	highschool	matriculated	caldecott	magdalen	schoolhouse	cottage	hillside
ပုထုဇဉ်	perfection	reverence	goodness	earthly	immortality	pleasures	humility	wisdom	delusion	righteousness
ပုထိုးတော်ကြီး	abbot	monastery	monks	abbey	stupa	monastic	abbots	reliquary	monasteries	abbeys
ပုရောဟိတ်	pious	charms	bride	mistress	bridegroom	penance	jewels	slippers	delights	casket
ပုလဲ	seaweed	coconuts	bananas	shrimp	salted	coconut	cakes	harvested	fertilizer	filtration
ပုလင်း	light	heaters	lining	rained	powder	dried	calories	cans	water	burner
ပုလိပ်	incensed	infuriated	outraged	humiliated	intimidated	reprisals	disgusted	cigarette	accomplice	amused
ပုလွေ	goldfish	rooster	monkey	cakes	mermaids	stuffed	creature	pudding	imitations	enchanted
ပုဝါ	clothes	wearing	rubbing	dressing	wears	dripping	jacket	bathing	handkerchief	dresses
ပုသိမ်	trincomalee	gyi	toungoo	queenstown	township	coeducational	mandalay	thein	rangoon	avoca
ပုသိမ်မြို့	suburb	highschool	lycée	coeducational	town	gymnasium	suffragan	avoca	schule	bayswater
ပုသိမ်မြို့မှ	hauptbahnhof	città	bahnhof	spandau	isenburg	besançon	šibenik	skipton	glenelg	suburb
ပုသိမ်မြို့သို့	šibenik	brindisi	livorno	città	sasebo	fiume	limassol	famagusta	venezia	zadar
ပူ	warmed	colder	warm	rain	wet	boiling	cool	hot	rainy	blowing
ပူဆွေး	regret	shame	dying	anger	moment	miserable	contemplate	feeling	everything	surely
ပူဇော်	prays	pray	gods	blessings	vow	prayed	worshipping	prayers	reverence	gifts
ပူဇော်ရန်	prays	gifts	slay	vow	devas	prayers	pray	faithless	orgy	stupa
ပူတာအို	kachin	kunming	taoyuan	myanmar	yunnan	honshu	lanzhou	honshū	guangxi	khao
ပူတင်	president	congratulated	reiterated	denounce	denounced	presidential	congratulate	congratulations	ousting	warned
ပူနွေး	colder	warmer	climates	warming	temperatures	drier	cooler	warm	dry	climatic
ပူနွေးလာ	warmer	colder	warming	climates	drier	warmed	cooler	climate	climatic	warm
ပူနွေးသော	warm	colder	climates	warmer	unusually	temperate	dry	drier	climatic	plentiful
ပူပူနွေးနွေး	drier	ripening	warming	climates	dialogue	consultations	talks	warmer	colder	refreshing
ပူပေါင်း	total	totalled	totalling	add	estimated	totaling	combined	totaled	million	totals
ပူပန်	come	bring	need	want	detrimental	even	resist	make	frustration	create
ပူပြင်း	drier	colder	cooler	warmer	torrential	elevations	thunderstorms	rainfall	climates	undulating
ပူပြင်းခြောက်သွေ့သော	drier	climates	temperate	subtropical	moist	vegetation	salinity	warmer	humid	temperatures
ပူပြင်းသော	unusually	abundant	plentiful	shallow	exceptionally	undulating	thick	dense	sparse	damp
ပူသော	delicate	shiny	bright	thick	abundant	purple	exceedingly	thin	plentiful	dull
ပူ၏	brittle	moisture	thickened	moist	watery	salty	smelling	gums	fungus	thickening
ပူအိုက်	drier	subtropical	temperate	humid	climates	moist	tropics	rainforests	warmer	temperatures
ပူး	pull	plus	move	cooperate	bring	join	with	pause	cooperates	take
ပူးတွဲ	joint	liaison	jointly	partnership	cooperation	operations	collaborate	memorandum	signed	venture
ပူးတွဲ၍	joint	liaison	laude	memorandum	refresher	iec	stakeholder	jtc	agreements	directorate
ပူးပေါင်း	collaborate	cooperate	partnership	join	partnerships	cooperating	cooperates	partners	collaborating	unite
ပူးပေါင်းခြင်း	integration	collaboration	mediation	cooperation	negotiation	augmentation	centralization	cooperating	subversion	elaboration
ပူးပေါင်းဆောင်ရွက်	cooperate	participation	cooperation	collaborate	cooperating	partnership	partnerships	cooperates	leadership	participate
ပူးပေါင်းဆောင်ရွက်ခြင်း	cooperation	participation	cooperating	mediation	integration	coordinating	partnerships	facilitation	cooperates	organisational
ပူးပေါင်းဆောင်ရွက်မှု	cooperation	participation	partnerships	cooperating	cooperate	partnership	cooperates	leadership	involvement	stakeholder
ပူးပေါင်းဆောင်ရွက်ရေး	cooperation	participation	cooperating	partnerships	cooperates	stakeholder	coordinating	stakeholders	cooperate	partnership
ပူးပေါင်းဆောင်ရွက်ရန်	partnerships	cooperation	stakeholders	cooperate	partnership	stakeholder	cooperates	participation	collaborate	multilateral
ပူးပေါင်းထားသော	cooperating	partnerships	multiple	unique	disparate	separate	cooperates	multitude	collaborative	collaboratively
ပူးပေါင်းပါဝင်	collaborate	cooperates	collaborates	collaborating	partnerships	organizations	cooperate	cooperating	collaboration	participate
ပူးပေါင်းပြီး	partnerships	partnership	merge	ngos	join	integrate	partners	cooperating	collaborate	cooperate
ပူးပေါင်းရေး	cooperation	cooperate	cooperating	negotiations	alliances	coordinating	disarmament	liaison	mobilisation	negotiating
ပူးပေါင်းရန်	cooperate	deploy	negotiate	collaborate	ngos	agreements	join	multilateral	negotiations	partnerships
ပူးပေါင်း၍	collaborate	partnerships	partnership	cooperates	merge	collaborates	join	cooperate	merged	collaborating
ပေ	meters	inches	feet	metres	tall	height	centimetres	stands	elevations	above
ပေကျင်း	china	beijing	taipei	doha	taiwan	hong	singapore	guangzhou	shanghai	japan
ပေခန့်	centimetres	centimeters	millimeters	oblong	centimeter	inches	diameter	tapering	greenish	thickness
ပေပါ	cost	cents	tons	lowered	amounting	tonnes	tonne	only	inches	costs
ပေပေါင်း	feet	slopes	hillsides	plateaus	ridges	plateau	elevations	valleys	foothills	undulating
ပေမဲ့	but	only	though	however	it	although	that	still	even	this
ပေမယ့်	but	when	actually	way	still	time	want	only	even	know
ပေရှိ	centimetres	meters	inches	diameter	centimeters	feet	elevations	millimeters	ft	boulders
ပေ့	starting	for	only	which	one	it	at	the	originally	to
ပေး	give	hold	collect	receive	get	allow	send	allowed	only	bring
ပေးကာ	repay	buy	needy	rupees	money	withhold	donate	donations	repaid	redeem
ပေးကမ်း	pay	paying	payment	donations	money	donation	receipt	paid	monies	donate
ပေးခဲ့	send	refused	paying	refuse	offered	requested	promised	donations	owed	needed
ပေးခဲ့ခြင်း	pardon	vindication	conviction	forgiven	rejection	execution	deserving	fervent	gratitude	hardship
