mad dogs & co	พันธุ์หมาบ้า
It was none of my business, and going into a monastery isn't my idea of fun.	กูขี้เกียจยุ่ง อยู่ แล้ววัดวา เข้า ได้ที่ ไหนล่ะกู
The sonofabitch plied me with drinks, and when we hit it off fine, of course I couldn't say no.	แม่-งก็ เอา เหล้ามาล่อ พอแดกกัน ได้ที่ปริบกัน แล้ว
So we went, riding this bike, Toby here."	ไป ก็ ไป กูขี่มอเตอร์ไซค์ไอ้เนี่ย ไอ้โทบี้คันเนี้ ย"
Otto pointed at the motorcycle parked in front of the shop.	อ๊อดโต้ชี้มือ ไปทางมอเตอร์ไซค์ที่จอด อยู่หน้าร้าน
"When we got there, he went up to see the woman in her cell, leaving me to wait for him downstairs.	ไป ถึงมัน ก็ ขึ้น ไปหา ผู้ หญิงบนกุฏิ กู ก็ อยู่ข้างล่างคอยมัน
I sat there on my own and at some point I fell asleep.	นั่ง อยู่คนเดียว ไม่ หลับ ไปตอน ไหน
By the time I woke up, it was fucking dark already.	ตื่นมา อีกทีแม่-ง มืด แล้วนี่หว่า
I went upstairs to tell him to go back.	กูก็ ขึ้น ไปตามมันบนกุฏิ จะชวนมัน กลับ
But the motherfucker was asleep as well.	ไอ้ยัดแม่ ไอ้ล้านแม่-งก็ หลับ
He wasn't just asleep: he was holding the nun's hand in his, actually, and snoring too.	หลับ ไม่ หลับ เปล่า มือมัน ยังจับ มือแม่ชี อยู่นะมึง กรน ด้วยนะ
Anyway, I woke him up for us to go back.	ไม่ใช่ธรรมดา กูเลยปลุกมัน กลับ...
Later, the woman left the nun-hood and stayed with him.	ตอนหลังผู้ หญิง เขา ก็สึกมา อยู่กับ มัน
And the monastery no longer allows men to visit the nuns, because of our goddamn Larn-"	ตั้ง แต่นั้น มาวัดนั้น เขา ไม่ ให้ ผู้ชาย เข้า ไปเยี่ยมชีเลยนะมึงเพราะไอ้ล้านเรานี่แหละ..."
Chuanchua burst out laughing.	ชวนชั่ว หัวเราะ ลั่น
