The Wonderful Wizard of Oz	พ่อมดมหัศจรรย์แห่งออซ
Then the big gate swung slowly open, and they all passed through and found themselves in a high arched room, the walls of which glistened with countless emeralds.	แล้วประตูบาน ใหญ่ ก็เปิด ออกช้าๆ ทั้งหมด เดินผ่าน เข้า ไป และพบตน เอง อยู่ ใต้ห้องโค้ง ใหญ่ ผนังกำแพงส่องประกายจากมรกตนับ ไม่ถ้วน
Before them stood a little man about the same size as the Munchkins.	เบื้องหน้ามีชายร่างเล็ก ขนาด เท่าพวก มันชกิน ส์ ยืน อยู่คนหนึ่ง
He was clothed all in green, from his head to his feet, and even his skin was of a greenish tint.	เขาสวมชุด เขียว ทั้งหมด ตั้ง แต่ หัวจด เท้า และ แม้ แต่ ผิว หนังของ เขา เป็นสี เขียวจางๆ
At his side was a large green box.	ข้างๆมีกล่องสีเขียว ใบ ใหญ่ ใบหนึ่ง
When he saw Dorothy and her companions the man asked, "What do you wish in the Emerald City?"	เมื่อเห็นโดโรธี และ เพื่อนๆ ชายนั้น ก็ถาม ขึ้นว่า ``เธอปรารถนา สิ่ง ใด ในเมือง มรกตนี้ ''
"We came here to see the Great Oz," said Dorothy.	``เรามาที่นี่เพื่อพบออซผู้ยิ่ง ใหญ่''โดโรธีพูด
The man was so surprised at this answer that he sat down to think it over.	ชายนั้นประหลาด ใจต่อ คำตอบนั้น มากจนต้อง นั่งลง คิด
"It has been many years since anyone asked me to see Oz," he said, shaking his head in perplexity.	``หลายปีมาแล้วที่มี ใครสักคนขอฉันว่า จะ ไปพบออซ'' เขาพูด สั่น หัวอย่างงุนงง
"He is powerful and terrible, and if you come on an idle or foolish errand to bother the wise reflections of the Great Wizard, he might be angry and destroy you all in an instant."	ท่านมีอำนาจ และร้ายกาจ และถ้า เธอมา ด้วยเรื่อง ไร้ สาระหรือนำ เรื่อง โง่ๆมาทำ ให้สมาธิ อันปราดเปรื่องของพ่อมด ผู้ยิ่ง ใหญ่ ขุ่นเคืองละ ก็ ท่านอาจ จะโกรธ และทำลายเธอลง โดยพลัน''
"But it is not a foolish errand, nor an idle one," replied the Scarecrow; "it is important.	``แต่นี่ ไม่ใช่เรื่อง โง่ๆหรือไร้ สาระนะ''หุ่น ไล่กาตอบ ``มัน สำคัญ
And we have been told that Oz is a good Wizard."	และเรา ก็ ได้รับ การบอก เล่าว่าออซ เป็นพ่อมดที่ดีนี่''
"So he is," said the green man, "and he rules the Emerald City wisely and well.	``ท่านเป็น เช่นนั้น ...''ชายสี เขียวพูด ``ท่าน ปกครองเมือง มรกตอย่างดี และชาญฉลาด
But to those who are not honest, or who approach him from curiosity, he is most terrible, and few have ever dared ask to see his face.	แต่สำหรับ คน ไม่ซื่อตรง หรือคนที่ เข้ามาหา ด้วย ความ อยากรู้ อยาก เห็น ท่าน จะร้ายกาจที่ สุด และมี น้อยคนที่กล้ามาขอพบท่านต่อหน้า
I am the Guardian of the Gates, and since you demand to see the Great Oz I must take you to his Palace.	ฉันเป็นยาม รักษาประตูนี้ และเพราะเธอต้องการพบออซ ผู้ยิ่ง ใหญ่ ฉันจำต้องนำ เธอ ไป ยังวังท่าน
But first you must put on the spectacles."	แต่เธอต้องสวมแว่นตาก่อน''
"Why?" asked Dorothy.	``ทำไมล่ะ''โดโรธีถาม
"Because if you did not wear spectacles the brightness and glory of the Emerald City would blind you.	``เพราะถ้าเธอ ไม่สวมแว่น ความ สว่าง และสุกใสของเมือง มรกต จะทำ ให้เธอตาบอด
Even those who live in the City must wear spectacles night and day.	แม้ แต่ ผู้ที่ อาศัย อยู่ ในเมือง ยังต้องสวมแว่น ทั้งวัน ทั้ง คืน
They are all locked on, for Oz so ordered it when the City was first built, and I have the only key that will unlock them."	แว่นตาลั่นกุญแจ ไว้ แน่นเพราะออซ ได้บัญชา ไว้ แต่เมื่อแรก สร้างเมือง และฉัน ก็มี กุญแจ อยู่ เพียงดอกเดียวที่ จะไขมันออก ได้''
He opened the big box, and Dorothy saw that it was filled with spectacles of every size and shape.	เขาเปิด หีบ ใหญ่ออก โดโรธี เห็นว่า เต็ม ไป ด้วยแว่นทุก แบบทุก ขนาด
All of them had green glasses in them.	ทุกอันมี กระจก เขียว
The Guardian of the Gates found a pair that would just fit Dorothy and put them over her eyes.	ยามรักษาประตู ได้แว่น อันหนึ่ง เหมาะกับ โดโรธีพอดี และสวมมัน เข้ากับ ตาของเธอ
There were two golden bands fastened to them that passed around the back of her head, where they were locked together by a little key that was at the end of a chain the Guardian of the Gates wore around his neck.	ก้านทองสองก้านติดแน่นโอบ ไป ด้านหลังศีรษะ ซึ่ง ถูกลั่น กุญแจ ด้วยลูก กุญแจเล็กๆที่ยาม รักษาประตูห้อย ไว้กับ สายโซ่รอบคอ
When they were on, Dorothy could not take them off had she wished, but of course she did not wish to be blinded by the glare of the Emerald City, so she said nothing.	เมื่อสวมแว่นแล้ว โดโรธีถอดออก ไม่ ได้ แม้ อยาก จะถอด ก็ตาม แต่ แน่นอนเธอ ไม่ต้องการที่ จะตาบอด ด้วยแสงสะท้อนของเมือง มรกต ดัง นั้น เธอจึงมิ ได้พูดอะไร
Then the green man fitted spectacles for the Scarecrow and the Tin Woodman and the Lion, and even on little Toto; and all were locked fast with the key.	แล้วชายสี เขียว ก็สวมแว่น ให้หุ่น ไล่กา ชายตัด ไม้ดีบุก และสิงโต หรือ แม้ แต่เจ้า โต โต้ น้อย เอง ทั้งหมดล้วน ถูกลั่น กุญแจแว่น
Then the Guardian of the Gates put on his own glasses and told them he was ready to show them to the Palace.	แล้วยาม รักษาประตู ก็สวมแว่นของตนบอกว่า เขา พร้อม แล้วที่ จะนำ ไป ยังวัง
Taking a big golden key from a peg on the wall, he opened another gate, and they all followed him through the portal into the streets of the Emerald City.	หยิบ กุญแจทองดอก ใหญ่จากขอกำแพง และเปิด ประตู อีกบาน แล้วต่าง ก็พากัน เดินตามยาม ผู้นั้น ผ่านประตู เข้า ไป สู่ถนน แห่งเมือง มรกต
Chapter 11. The Wonderful City of Oz	บทที่ 11 เมืองมรกตมหัศจรรย์ แห่งออซ
Even with eyes protected by the green spectacles, Dorothy and her friends were at first dazzled by the brilliancy of the wonderful City.	โดโรธีกับเพื่อนของเธอ แม้ว่าตา จะ ถูกกัน ด้วยแว่นสี เขียว ทีแรก ก็พร่ามัว ไป ด้วยแสงเจิดจ้าของเมือง มหัศจรรย์
The streets were lined with beautiful houses all built of green marble and studded everywhere with sparkling emeralds.	ถนนเรียงรายไป ด้วยบ้านสวยๆที่ สร้าง ด้วยหินอ่อนสี เขียว และ ฝาบ้านมรกตส่งประกาย ไป ทั่ว
They walked over a pavement of the same green marble, and where the blocks were joined together were rows of emeralds, set closely, and glittering in the brightness of the sun.	พวกเขา เดิน ไปตามบาทวิถีที่ทำ ด้วยหินอ่อนมรกต เช่นกัน ตรงที่ถนนต่อกันมีมรกต เป็น แถวชิดกัน อยู่ส่งประกายท่ามกลางแสงสุกใสของดวง ตะวัน
The window panes were of green glass; even the sky above the City had a green tint, and the rays of the sun were green.	กระจกหน้าต่างทำ ด้วย แก้วสี เขียว แม้ แต่ท้อง ฟ้า เหนือเมือง ก็ เป็นสี เขียวจางๆ รังสี ตะวัน ก็มีสี เขียว
There were many people--men, women, and children--walking about, and these were all dressed in green clothes and had greenish skins.	ผู้คนมีมากมาย ชาย หญิง และ เด็ก เดิน ไปมา ต่าง แต่งกาย ด้วย เสื้อ ผ้าสี เขียว และมี ผิวสี เขียวอ่อนๆ
They looked at Dorothy and her strangely assorted company with wondering eyes, and the children all ran away and hid behind their mothers when they saw the Lion; but no one spoke to them.	ต่างจ้องดูโดโรธีกับคณะประหลาดของเธอ ด้วยดวงตา อันสงสัย พวก เด็ก วิ่งหนี ไปหมดเมื่อ เห็นเจ้า สิงโต แล้วมาแอบ อยู่ข้างหลังแม่ แต่ ไม่มี ใครพูดกับ เขาเลย
Many shops stood in the street, and Dorothy saw that everything in them was green.	มีร้านหลายร้านอยู่ข้างถนน โดโรธีมอง เห็นทุก สิ่งทุกอย่าง ในนั้น เป็นสี เขียวหมด
Green candy and green pop corn were offered for sale, as well as green shoes, green hats, and green clothes of all sorts.	ขนมสีเขียว ข้าวโพดคั่วสี เขียวมีขาย ทั่ว ไป เช่นเดียวกับ รอง เท้าสี เขียว หมวก เขียว และ เสื้อ ผ้า เขียวทุกๆ แบบ
At one place a man was selling green lemonade, and when the children bought it Dorothy could see that they paid for it with green pennies.	ตรงที่แห่งหนึ่ง มีชายคนหนึ่ง ขายมะนาว เขียว ด้วย และเมื่อ เด็กๆมา ซื้อ โดโรธี ก็ เห็นว่าพวก เด็กๆจ่ายกัน ด้วย สตางค์สี เขียว
There seemed to be no horses nor animals of any kind; the men carried things around in little green carts, which they pushed before them.	ดูเหมือนที่นี่ จะ ไม่มีม้าหรือสัตว์ อื่น ใด ผู้คนลากเข็น สิ่งของ ด้วยรถเข็นเล็กๆสี เขียวผลัก ไปข้างหน้า
Everyone seemed happy and contented and prosperous.	ทุกคนดูเป็น สุข พอ ใจ และมั่งคั่ง
The Guardian of the Gates led them through the streets until they came to a big building, exactly in the middle of the City, which was the Palace of Oz, the Great Wizard.	ยามรักษาประตูพาพวก เขาผ่านถนน ไปจน ถึงตึก ใหญ่ตรง ใจกลางเมือง ซึ่ง เป็นวังของออซ พ่อมด ผู้ยิ่ง ใหญ่
There was a soldier before the door, dressed in a green uniform and wearing a long green beard.	มีทหารคนหนึ่ง อยู่หน้าประตู แต่งกาย ด้วย เครื่อง แบบสี เขียว มีหนวด เขียวยาว
"Here are strangers," said the Guardian of the Gates to him, "and they demand to see the Great Oz."	``นี่คือคนแปลกหน้า...''ยามรักษาประตูพูดกับ เขา ``พวก เขาต้องการพบออซ ผู้ยิ่ง ใหญ่''
"Step inside," answered the soldier, "and I will carry your message to him."	``เข้ามาข้าง ใน...'' ทหารตอบ ``ฉัน จะนำ ข่าวของเธอ ไปเสนอท่าน''
So they passed through the Palace Gates and were led into a big room with a green carpet and lovely green furniture set with emeralds.	ดังนั้น พวก เขา ก็ผ่านประตูวัง และ ถูกนำ ไป ยังห้อง ใหญ่ที่มีพรม เขียวกับ เครื่องตบ แต่งสี เขียวน่ารัก ประดับ ด้วยมรกต''
The soldier made them all wipe their feet upon a green mat before entering this room, and when they were seated he said politely: "Please make yourselves comfortable while I go to the door of the Throne Room and tell Oz you are here."	ทหาร ให้ทุกคนเช็ด เท้ากับ เสื่อ เขียวๆก่อน เข้า ไป ในห้องนั้น และเมื่อ นั่งลง แล้ว เขา ก็พูดอย่างสุภาพว่า ``โปรดทำตนตาม สบาย ฉัน จะ ไปที่ประตูห้องบัลลังก์เพื่อรายงานออซว่าพวก เธอมาที่นี่
They had to wait a long time before the soldier returned.	พวกเขาต้องรอ เป็น เวลานานกว่า ทหาร จะ กลับมา
When, at last, he came back, Dorothy asked: "Have you seen Oz?"	ในที่ สุดเมื่อ กลับมา แล้ว โดโรธี ก็ถาม ขึ้นว่า ``ท่าน ได้พบออซ ไหม''
"Oh, no," returned the soldier; "I have never seen him.	``โอ้...ไม่หรอก'' ทหารตอบ ``ฉัน ไม่เคย เห็นท่านเลย
But I spoke to him as he sat behind his screen and gave him your message.	แต่ฉันพูดกับ ท่านผ่านที่ท่าน นั่ง อยู่หลังฉาก และบอกข่าวพวก เธอ ให้ท่าน แล้ว
He said he will grant you an audience, if you so desire; but each one of you must enter his presence alone, and he will admit but one each day.	ท่านว่าท่านจะอนุญาต ให้ เข้าพบถ้า เธอปรารถนา เช่นนั้น พวก เธอต้อง เข้า ไปปรากฏ ตัวต่อท่าน แต่ ผู้เดียวทีละคน
Therefore, as you must remain in the Palace for several days, I will have you shown to rooms where you may rest in comfort after your journey."	ดังนั้น เธอ จะต้อง อยู่ ในวังนี้ หลายวัน ฉัน จะนำ เธอ ไป ยังห้องเพื่อ พัก ให้ สบายหลังการ เดินทาง''
"Thank you," replied the girl; "that is very kind of Oz."	``ขอบคุณ'' เด็ก หญิงตอบ ``ช่างกรุณาจัง ท่านออซนี่''
The soldier now blew upon a green whistle, and at once a young girl, dressed in a pretty green silk gown, entered the room.	แล้ว ทหาร ก็เป่านกหวีดสี เขียว ทัน ใดนั้น สาว น้อย แต่งกาย ด้วยชุด ผ้า ไหมสี เขียวน่ารัก ก็ เข้ามา ในห้อง
She had lovely green hair and green eyes, and she bowed low before Dorothy as she said, "Follow me and I will show you your room."	เธอมีผมสีเขียวน่ารัก และตาสี เขียว เธอโค้ง ให้โดโรธี เสีย ต่ำ พร้อมกับ พูดว่า ``ตามฉันมา ฉัน จะชี้ห้อง ให้เธอ''
So Dorothy said good-bye to all her friends except Toto, and taking the dog in her arms followed the green girl through seven passages and up three flights of stairs until they came to a room at the front of the Palace.	ดังนั้น โดโรธีจึง กล่าวลา เพื่อนๆของเธอ ทั้งหมด ยก เว้นโต โต้ เธออุ้มเจ้า หมานั้น ขึ้นมาบนแขน ตามสาวสี เขียวผ่านฉนวนทาง เดิน ซึ่งมี เครื่องกำบังสองข้างเจ็ด แห่ง และ ขึ้นบันได ไปสามขั้นจน ไป ถึงห้องหนึ่ง ด้านหน้าของวัง
It was the sweetest little room in the world, with a soft comfortable bed that had sheets of green silk and a green velvet counterpane.	ห้องนั้นเล็กน่ารักที่ สุด ในโลก มีเตียงอ่อนนุ่ม สบายปู ด้วย ผ้า ไหมสี เขียวกับ ผ้าบุกำมะหยี่สี เขียว
There was a tiny fountain in the middle of the room, that shot a spray of green perfume into the air, to fall back into a beautifully carved green marble basin.	มีน้ำพุ น้อยๆ อยู่กลางห้องส่งละออง น้ำหอมสี เขียว ไป ใน อากาศ และตกลง ไป ใน อ่างหินอ่อนสี เขียวสลักงดงาม
Beautiful green flowers stood in the windows, and there was a shelf with a row of little green books.	มีดอกไม้ เขียวสวย ตั้ง อยู่ที่หน้าต่าง และมีชั้น ใส่ หนังสือสี เขียวเล็กๆหนึ่ง แถว
When Dorothy had time to open these books she found them full of queer green pictures that made her laugh, they were so funny.	เมื่อโดโรธีมีเวลาที่ จะเปิด หนังสือดู เธอ ก็พบว่ามีรูปสี เขียวประหลาดๆที่ทำ ให้เธอ หัวเราะ ...ช่างตลก จริงๆ
In a wardrobe were many green dresses, made of silk and satin and velvet; and all of them fitted Dorothy exactly.	ใน ตู้มี เสื้อ ผ้าสี เขียวหลายชุดทำ ด้วย ไหม แพร กำมะหยี่ และสวม ได้พอเหมาะกับ โดโรธี ทั้งหมด ด้วย
"Make yourself perfectly at home," said the green girl, "and if you wish for anything ring the bell.	``โปรดทำตัว ให้ เหมือน อยู่บ้าน ได้ เต็มที่''สาวสี เขียวพูด ``ถ้า เธอต้องการอะไร ก็สั่นกระดิ่ง แล้วกัน
Oz will send for you tomorrow morning."	ออซจะ ให้เธอ เข้าพบพรุ่งนี้ เช้า ''
She left Dorothy alone and went back to the others.	เธอปล่อยโดโรธีไว้ แต่ เพียง ผู้เดียว และ กลับ ไปหาคน อื่นๆ
These she also led to rooms, and each one of them found himself lodged in a very pleasant part of the Palace.	เธอนำพวก เขา ไป ในห้อง แต่ละคนพบว่า ได้ พักแสน สบายภาย ในวัง
Of course this politeness was wasted on the Scarecrow; for when he found himself alone in his room he stood stupidly in one spot, just within the doorway, to wait till morning.	แต่ ความ สบายอย่างนี้ ไร้ ผลกับ หุ่น ไล่กา เพราะเมื่อมัน อยู่ ตัวเดียว ในห้อง มัน จะ ยืนอย่างทึ่มที่จุดหนึ่ง ใกล้ประตู รอจนรุ่งเช้า
It would not rest him to lie down, and he could not close his eyes; so he remained all night staring at a little spider which was weaving its web in a corner of the room, just as if it were not one of the most wonderful rooms in the world.	มันพักผ่อนนอนลง ไม่ ได้ ปิดตา ก็ ไม่ ได้ ดัง นั้น ตลอด คืนมันจึงจ้องดูแมง มุมเล็กๆที่ถักใย อยู่ มุมห้อง ราวกับ ว่าห้องนี้ มิใช่ห้องมหัศจรรย์ที่ สุด ในโลก แต่อย่าง ใด
The Tin Woodman lay down on his bed from force of habit, for he remembered when he was made of flesh; but not being able to sleep, he passed the night moving his joints up and down to make sure they kept in good working order.	ชายตัดไม้ดีบุกนอนลงบนเตียง ด้วย แรงเคยชิน เพราะมันจำ ได้เมื่อ ครั้ง ตน ยัง เป็น เนื้อ หนัง เมื่อ ไม่อาจ หลับลง ได้มัน ก็ ใช้ เวลากลาง คืนขยับข้อต่อ ขึ้นลงเพื่อ ให้ แน่ ใจว่า จะ อยู่ ในสภาพ ใช้การ ได้ดี
The Lion would have preferred a bed of dried leaves in the forest, and did not like being shut up in a room; but he had too much sense to let this worry him, so he sprang upon the bed and rolled himself up like a cat and purred himself asleep in a minute.	ส่วนสิงโตชอบเตียง ใบ ไม้ แห้ง ในป่ามากกว่า และ ไม่ชอบที่ต้อง ถูกปิด ไว้ ในห้องเลย แต่มัน ก็มีสมองดีกว่า จะปล่อย ให้ เป็นเรื่อง กังวล ดัง นั้น สิงโตจึง กระโดด ขึ้นเตียงม้วน ตัวลงนอนราวกับ แมว และ หลับครอก ไป ในหนึ่ง นาที
The next morning, after breakfast, the green maiden came to fetch Dorothy, and she dressed her in one of the prettiest gowns, made of green brocaded satin.	เช้าต่อมา หลัง อาหารเช้า สาว ใช้สี เขียว ก็มารับ โดโรธี เธอ แต่งกาย ด้วย เสื้อยาวที่ สุด ตัวหนึ่ง ทำ ด้วยแพรถักสี เขียว
Dorothy put on a green silk apron and tied a green ribbon around Toto's neck, and they started for the Throne Room of the Great Oz.	โดโรธีเอา ผ้ากันเปื้อน ไหมสี เขียวมาคาด ผูกริบบิ้นรอบคอโต โต้ และเริ่มออก เดิน ไป สู่ห้องบัลลังก์ของ ``ออซ ผู้ยิ่ง ใหญ่
First they came to a great hall in which were many ladies and gentlemen of the court, all dressed in rich costumes.	ทีแรกผ่าน ไป ยังห้องโถง ใหญ่ ซึ่งสุภาพสตรี และสุภาพบุรุษ แห่งราชสำนัก ทั้งหลายต่าง แต่งกาย ด้วยชุดหรูหรา
These people had nothing to do but talk to each other, but they always came to wait outside the Throne Room every morning, although they were never permitted to see Oz.	ผู้คน เหล่านี้ ไม่มีอะไรทำนอกจาก คุยกัน แต่ ก็มัก จะมาเฝ้าคอย อยู่ข้างนอกห้องบัลลังก์ทุกๆเช้า แม้ จะ ไม่เคย ได้รับ อนุญาต ให้พบออซเลย
As Dorothy entered they looked at her curiously, and one of them whispered: "Are you really going to look upon the face of Oz the Terrible?"	เมื่อโดโรธีผ่านมาต่างก็มองเธออย่างสงสัย คนหนึ่ง กระซิบว่า ``เธอ จะมองที่หน้าของออซ ผู้ร้ายกาจ จริงๆหรือ''
"Of course," answered the girl, "if he will see me."	``แน่ซิ'' เด็ก หญิงตอบ ``ถ้า ท่านอนุญาต ให้ฉันพบ ได้...''
"Oh, he will see you," said the soldier who had taken her message to the Wizard, "although he does not like to have people ask to see him.	``โอ้...ท่านจะพบเธอ แน่'' ทหารคนที่นำ ข่าวของเธอ ไป ยังพ่อมดพูด ขึ้น `` แม้ท่าน ไม่ชอบคนที่มาขอพบท่านนัก ก็ตาม
Indeed, at first he was angry and said I should send you back where you came from.	ที่จริงตอนแรก ท่านโกรธ และพูดว่า ``ข้า จะส่งเจ้า กลับ ไป ยังที่จากมา
Then he asked me what you looked like, and when I mentioned your silver shoes he was very much interested.	แต่ท่าน ก็ถามว่าเธอหน้าตา เป็นอย่างไร เมื่อฉันเอ่ย ถึงรอง เท้า เงินของเธอท่าน กลับสน ใจมาก
At last I told him about the mark upon your forehead, and he decided he would admit you to his presence."	ในที่ สุดเมื่อฉันบอกท่าน ถึงรอยที่หน้าผาก ท่าน ก็เลยตัด สิน ใจอนุญาต ให้เธอ ไปปรากฏ ตัว ได้''
Just then a bell rang, and the green girl said to Dorothy, "That is the signal.	ตอนนั้นระฆังดัง ขึ้น และ เด็ก หญิงสี เขียวพูดกับ โดโรธีว่า ``นั่นคือสัญญาณ
You must go into the Throne Room alone."	เธอจะต้อง เข้า ไป ในห้องบัลลังก์ แต่ ผู้เดียว''
She opened a little door and Dorothy walked boldly through and found herself in a wonderful place.	เธอเปิดประตูเล็กออก และโดโรธี เดินผ่าน เข้า ไปอย่างกล้าหาญ เธอพบตน เอง อยู่ ในสถานที่มหัศจรรย์
It was a big, round room with a high arched roof, and the walls and ceiling and floor were covered with large emeralds set closely together.	ห้องนั้นใหญ่ กลม มีหลังคาโค้ง สูง ผนังกับ เพดาน และ พื้นปู ด้วยมรกตเม็ด ใหญ่ๆต่อชิดติดกัน
In the center of the roof was a great light, as bright as the sun, which made the emeralds sparkle in a wonderful manner.	ตรงกลางหลังคามีแสงสว่างดวง ใหญ่ สว่างราวแสง ตะวัน ทำ ให้มรกตส่องประกายอย่างน่ามหัศจรรย์ยิ่ง
But what interested Dorothy most was the big throne of green marble that stood in the middle of the room.	แต่ สิ่งที่ทำ ให้โดโรธีสน ใจมากที่ สุดคือบัลลังก์หินอ่อนสี เขียว ใหญ่ ซึ่ง ตั้ง อยู่กลางห้อง
It was shaped like a chair and sparkled with gems, as did everything else.	รูปร่างเหมือนเก้าอี้ มีอัญมณีส่องประกายจ้า เหมือนๆกับ ทุก สิ่ง ในนั้น
In the center of the chair was an enormous Head, without a body to support it or any arms or legs whatever.	ตรงกลางเก้าอี้มีศีรษะมหึมา ปราศจากร่างหรือแขนขาใดๆรองรับ
There was no hair upon this head, but it had eyes and a nose and mouth, and was much bigger than the head of the biggest giant.	ศีรษะนั้นไม่มีผม แม้ แต่ เส้นเดียว มี แต่ตา จมูก และปาก ศีรษะ ใหญ่กว่า หัวยักษ์ที่ สุด ใดๆ
As Dorothy gazed upon this in wonder and fear, the eyes turned slowly and looked at her sharply and steadily.	ขณะที่โดโรธีจ้องมอง ด้วย ความประหลาด ใจ และกลัวนั้น ตาของมัน ก็ เหลือบมองมาอย่างช้าๆจ้องดูเธอเขม็ง นิ่ง อยู่
Then the mouth moved, and Dorothy heard a voice say: "I am Oz, the Great and Terrible.	แล้วปาก ก็ขยับ ขึ้น โดโรธี ได้ยิน เสียงพูดว่า ``ข้าคือออซ ผู้ยิ่ง ใหญ่ และร้ายกาจ
Who are you, and why do you seek me?"	เจ้าเป็น ใคร และมาตามหาข้าทำไม
It was not such an awful voice as she had expected to come from the big Head; so she took courage and answered: "I am Dorothy, the Small and Meek.	เสียงนั้น ไม่น่ากลัวดัง ที่โดโรธีคาดว่า จะมาจากศีรษะ ใหญ่โต เช่นนั้น ดัง นั้น เธอจึงรวบรวม ความกล้าหาญ และตอบว่า ``ฉันคือโดโรธี ผู้ น้อย และสุภาพ
I have come to you for help."	ฉันมาขอความ ช่วย เหลือ''
The eyes looked at her thoughtfully for a full minute.	ดวงตานั้นจ้องมองเธออย่างครุ่น คิดหนึ่ง นาที เต็ม แล้วจึงถามว่า
Then said the voice: "Where did you get the silver shoes?"	``เจ้าไป เอารอง เท้า เงินนั้น มาจาก ไหน''
"I got them from the Wicked Witch of the East, when my house fell on her and killed her," she replied.	``ฉันได้มาจากแม่มด แห่งทิศ ตะวัน ออกที่ ชั่วร้าย เมื่อบ้านฉันตกลงทับเธอตาย''เธอตอบ
"Where did you get the mark upon your forehead?" continued the voice.	``เจ้าเอารอยตรงหน้าผากนั้น มาจาก ไหน'' เขาถามต่อ
"That is where the Good Witch of the North kissed me when she bade me good-bye and sent me to you," said the girl.	``นั่นคือที่แม่มดแห่งทิศ เหนือ ผู้ดีงามจุมพิตฉันเมื่อเธอ กล่าวอำลา แล้วส่งฉันมาหาท่าน'' เด็ก หญิงพูด
Again the eyes looked at her sharply, and they saw she was telling the truth.	ดวงตานั้นจ้องมองเธออย่างคมกริบ อีก ครั้ง และ เห็นเธอพูด ความ จริง
Then Oz asked, "What do you wish me to do?"	ออซถึงถามว่า ``เจ้า อยาก ให้ข้าทำอะไร''
"Send me back to Kansas, where my Aunt Em and Uncle Henry are," she answered earnestly.	``ส่งฉันกลับ ไปแคนซัสที่ป้าเอ็มกับ ลุงเฮนรีของฉัน อยู่ทีซิ...''เธอตอบอย่างกระตือรือร้น ``
"I don't like your country, although it is so beautiful.	ฉันไม่ชอบดินแดนของท่าน แม้มัน จะสวยสด เพียง ใด
And I am sure Aunt Em will be dreadfully worried over my being away so long."	และฉัน แน่ ใจว่าป้าเอ็มคง จะกังวลแทบตายที่ฉันจากมา เสียนาน''
The eyes winked three times, and then they turned up to the ceiling and down to the floor and rolled around so queerly that they seemed to see every part of the room.	ดวงตานั้นกะพริบสาม ครั้ง แล้ว ก็ หมุน ขึ้น ไปมองเพดาน มองลงที่ พื้น แล้ว หมุน ไปรอบๆ แปลกประหลาดจนดู เหมือนว่ามันมองดูห้องนั้น ทุก ส่วนสัด
And at last they looked at Dorothy again.	และ ในที่ สุด ก็หัน มามองโดโรธี อีก ครั้ง
"Why should I do this for you?" asked Oz.	``ทำไมข้าถึง จะต้อง ช่วยเจ้า ล่ะ''ออซถาม
"Because you are strong and I am weak; because you are a Great Wizard and I am only a little girl."	``เพราะว่าท่านทรงพลังส่วนฉันอ่อนแอ เพราะว่าท่านคือพ่อมด ผู้ยิ่ง ใหญ่ และฉัน เป็น เพียง เด็ก หญิง ตัวเล็กๆที่ ช่วย ตัว เอง ไม่ ได้''เธอตอบ
"But you were strong enough to kill the Wicked Witch of the East," said Oz.	``แต่เจ้า แข็งแกร่งพอที่ จะ ฆ่าแม่มด แห่งทิศ ตะวัน ออกที่ ชั่วร้ายนี่นา''ออซพูด
"That just happened," returned Dorothy simply; "I could not help it."	``มันเกิดขึ้น เอง''โดโรธีตอบอย่างง่ายๆ ``ฉัน ไม่ ได้ทำอะไรเลย''
"Well," said the Head, "I will give you my answer.	``ดีละ''ศีรษะนั้นพูด ``ข้า จะ ให้ คำตอบเจ้า
You have no right to expect me to send you back to Kansas unless you do something for me in return.	เจ้าไม่มีสิทธิ์ ที่ จะหวังว่าข้า จะส่งเจ้า กลับ ไปแคนซัสจนกว่า จะทำอะไร ให้ข้า เป็นการตอบ แทน
In this country everyone must pay for everything he gets.	ในดินแดนนี้ ทุกคนต้องจ่ายเพื่อทุก สิ่งที่ ได้มา
If you wish me to use my magic power to send you home again you must do something for me first. Help me and I will help you."	ถ้าเจ้า อยาก ให้ข้า ใช้ อำนาจเวทมนตร์ส่งเจ้า กลับบ้าน อีก ครั้ง เจ้า ต้องทำอะไร ให้ข้าก่อน ช่วยข้า แล้วข้า จะ ช่วยเจ้า ''
"What must I do?" asked the girl.	``ฉันจะต้องทำอะไร'' เด็ก หญิงถาม
"Kill the Wicked Witch of the West," answered Oz.	``ฆ่าแม่มด แห่งทิศ ตะวัน ตกที่ ชั่วร้ายนั้น เสีย''ออซตอบ
"But I cannot!" exclaimed Dorothy, greatly surprised.	``แต่ฉันทำ ไม่ ได้!''โดโรธีอุทานอย่างประหลาด ใจยิ่ง
"You killed the Witch of the East and you wear the silver shoes, which bear a powerful charm.	``เจ้าฆ่าแม่มด แห่งทิศ ตะวัน ออก ได้ เจ้า สวมรอง เท้า เงิน อันมีมนตร์คาถาทรงพลังนั้น
There is now but one Wicked Witch left in all this land, and when you can tell me she is dead I will send you back to Kansas--but not before."	ทีนี้แม่มด ชั่วร้าย เหลือ อยู่ เพียงหนึ่ง คน ในดินแดน ทั้งมวล เมื่อเจ้า บอกข้า ได้ว่านางตาย แล้วนั่นแหละ ข้า ถึง จะส่งเจ้า กลับแคนซัส ไม่ใช่ก่อนหน้านั้น ''
